list_name,master_item_name,master_material,itemname,material,quantity,description,latitude,longitude,altitude,radius,location,timestamp,dt,project_name,username,manual_upload,event_name,id,log_index
"Site Assessment","Toothbrushes, toothpaste, & floss","PLASTIC","Toothbrushes","PERSONAL CARE","1","","2.2104694","102.2948614","9.4576416015625","4.1129999160767","Malacca City, Malacca, Malaysia","20201218040232","2020-12-18 04:02:32","","Azlan Abas","0","","882540","25571"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","2.2061717","102.2487917","9.7000007629395","4.423999786377","Malacca City, Malacca, Malaysia","20201007040321","2020-10-07 04:03:21","","Hakimah","0","","799057","23694"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","2.2052797","102.248635","39.399997711182","7.7369999885559","Malacca City, Malacca, Malaysia","20201007041320","2020-10-07 04:13:20","","Hakimah","0","","799087","23694"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","2","","2.2092016","102.2675352","8.0999994277954","3.9749999046326","Malacca City, Malacca, Malaysia","20201217082632","2020-12-17 08:26:32","","Hakimah","0","","887371","25666"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","2.2051223","102.3029819","7","5.2210001945496","Malacca City, Malacca, Malaysia","20201218044945","2020-12-18 04:49:45","","Hakimah","0","","887805","25670"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","2.2057913","102.3029723","8.0999994277954","4.8649997711182","Malacca City, Malacca, Malaysia","20201218045320","2020-12-18 04:53:20","","Hakimah","0","","887830","25670"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","2.2051223","102.3029819","7","5.2210001945496","Malacca City, Malacca, Malaysia","20201218044945","2020-12-18 04:49:45","","Hakimah","0","","887875","25671"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","2.2057913","102.3029723","8.0999994277954","4.8649997711182","Malacca City, Malacca, Malaysia","20201218045320","2020-12-18 04:53:20","","Hakimah","0","","887900","25671"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","2.1965161","102.3142669","10.3","3.6059999465942","Malacca, Malaysia","20201218070403","2020-12-18 07:04:03","","Hakimah","0","","888119","25673"
"Site Assessment","Wipes","PLASTIC","Disinfectant Wipes","PPE","1","","2.2093264","102.2674802","7.5","3.9000000953674","Malacca City, Malacca, Malaysia","20201217082908","2020-12-17 08:29:08","","Hakimah","0","","887390","25666"
"Site Assessment","Wipes","PLASTIC","Disinfectant Wipes","PPE","1","","2.2149183","102.2693183","10","4.0269999504089","Malacca City, Malacca, Malaysia","20201217091652","2020-12-17 09:16:52","","Hakimah","0","","887558","25667"
"Site Assessment","Wipes","PLASTIC","Disinfectant Wipes","PPE","1","","2.2148769","102.2693103","10.099999427795","3.7569999694824","Malacca City, Malacca, Malaysia","20201217091724","2020-12-17 09:17:24","","Hakimah","0","","887560","25667"
"Site Assessment","Mask","PERSONAL HYGEINE","Face Masks","PPE","1","","2.2064318","102.2487124","9.7000007629395","5.5320000648499","Malacca City, Malacca, Malaysia","20201007035255","2020-10-07 03:52:55","","Hakimah","0","","799039","23694"
"Site Assessment","Mask","PERSONAL HYGEINE","Face Masks","PPE","1","","2.2062798","102.2487224","9.7000007629395","4.0539999008179","Malacca City, Malacca, Malaysia","20201007035923","2020-10-07 03:59:23","","Hakimah","0","","799046","23694"
"Site Assessment","Mask","PERSONAL HYGEINE","Face Masks","PPE","1","","2.2056214","102.248882","50.899997711182","7.9120001792908","Malacca City, Malacca, Malaysia","20201007040832","2020-10-07 04:08:32","","Hakimah","0","","799075","23694"
"Site Assessment","Mask","PERSONAL HYGEINE","Face Masks","PPE","1","","2.2063407","102.2486849","9.7000007629395","8.8190002441406","Malacca City, Malacca, Malaysia","20201007035222","2020-10-07 03:52:22","","Azlan Abas","0","","799268","23704"
"Site Assessment","Mask","PERSONAL HYGEINE","Face Masks","PPE","1","","2.2067883014679","102.25714111328","8","65","Malacca City, Malacca, Malaysia","20201217041411","2020-12-17 04:14:11","","faiz aiman","0","","881010","25549"
"Site Assessment","Mask","PERSONAL HYGEINE","Face Masks","PPE","1","","2.2101806","102.2701627","7.1999998092651","4.1209998130798","Malacca City, Malacca, Malaysia","20201217081341","2020-12-17 08:13:41","","Azlan Abas","0","","881066","25552"
"Site Assessment","Mask","PERSONAL HYGEINE","Face Masks","PPE","1","","2.2101806","102.2701627","7.1999998092651","4.1209998130798","Malacca City, Malacca, Malaysia","20201217081341","2020-12-17 08:13:41","","Azlan Abas","0","","881092","25553"
"Site Assessment","Mask","PERSONAL HYGEINE","Face Masks","PPE","1","","2.2101806","102.2701627","7.1999998092651","4.1209998130798","Malacca City, Malacca, Malaysia","20201217081341","2020-12-17 08:13:41","","Azlan Abas","0","","881118","25554"
