list_name,master_item_name,master_material,itemname,material,quantity,description,latitude,longitude,altitude,radius,location,timestamp,dt,project_name,username,manual_upload,event_name,id,log_index
"Primary List","Other Paper","PAPER & LUMBER","Other Paper & Lumber","PAPER & LUMBER","1","","14.152803156652","100.6710695741","5.4912490844727","32.004833094724","Rangsit, Pathum Thani Province, Thailand","20210424135332","2021-04-24 13:53:32","Default","Zola","0","","1523049","38134"
"Primary List","Paper and Cardboard","PAPER & LUMBER","Paper and Cardboard","PAPER & LUMBER","1","","13.6247746","100.7103829","-26.2999992371","10.7829999924","Samut Prakan, Samut Prakan Province, Thailand","20200316045551","2020-03-16 04:55:51","","Tiphola66","0","","671974","20349"
"Primary List","Straws","PLASTIC","Straws","PLASTIC","2","","13.862932943907","100.4309674297","5.3597258496828","16.002416547362","Bang Len Subdistrict, Nonthaburi Province, Thailand","20210725104434","2021-07-25 10:44:34","Default","Earth","0","","1659956","42590"
"Primary List","Personal Care Products","PLASTIC","Personal care products","PLASTIC","1","","14.078232432968","100.60816766209","8.435772895813","65","Rangsit, Pathum Thani Province, Thailand","20210725215555","2021-07-25 21:55:55","Default","Day","0","","1661326","42625"
"Primary List","Plastic Food Wrappers","PLASTIC","Food Wrappers","PLASTIC","1","","13.862897577387","100.43092885041","14.194649639198","96","Bang Len Subdistrict, Nonthaburi Province, Thailand","20210725104403","2021-07-25 10:44:03","Default","Earth","0","","1659953","42590"
"Primary List","Plastic Food Wrappers","PLASTIC","Food Wrappers","PLASTIC","2","","13.862866163526","100.43102993133","8.4453415870667","86.244781801839","Bang Len Subdistrict, Nonthaburi Province, Thailand","20210725104954","2021-07-25 10:49:54","Default","Earth","0","","1659958","42591"
"Primary List","Plastic Caps or Lids","PLASTIC","Bottle or Container Caps","PLASTIC","2","","13.862968122201","100.43097525923","4.2999992370605","16.002416547362","Bang Len Subdistrict, Nonthaburi Province, Thailand","20210725104425","2021-07-25 10:44:25","Default","Earth","0","","1659955","42590"
"Primary List","Plastic Bottle","PLASTIC","Beverage Bottles","PLASTIC","1","","13.862990257325","100.43099265625","4.3000229039911","64.009666189447","Bang Len Subdistrict, Nonthaburi Province, Thailand","20210725104409","2021-07-25 10:44:09","Default","Earth","0","","1659954","42590"
"Primary List","Plastic Bottle","PLASTIC","Beverage Bottles","PLASTIC","3","","13.801652742541","100.31521827506","7.3118171691895","35","Tha Talat, Nakhon Pathom Province, Thailand","20230831131917","2023-08-31 13:19:17","Default","Natsuda","0","","2603410","69020"
"Primary List","Plastic Bags","PLASTIC","Plastic Bags","PLASTIC","2","","13.862907433956","100.43095382494","4.4683662926064","32.004833094724","Bang Len Subdistrict, Nonthaburi Province, Thailand","20210725104446","2021-07-25 10:44:46","Default","Earth","0","","1659957","42590"
"SAP","Mask","PLASTIC","Face mask","Most common item","6","","13.665585934563","100.57275548654","5.9203893281519","4.7678837958015","Bang Nam Phueng, Samut Prakan Province, Thailand","20220422052738","2022-04-22 05:27:38","APJ Waterway April 2022","usa_SAP","0","","2018313","50848"
"SAP","Mask","PLASTIC","Face mask","Most common item","4","","13.743188272723","100.56325060165","9.1354088783264","68.4636990628","Bangkok, Bangkok, Thailand","20220423111104","2022-04-23 11:11:04","Default","Deepak.kaushik02","0","","2021449","50893"
"SAP","Rubber Bands","RUBBER","Rubber band","Rubber","6","","13.665586670619","100.57278782044","6.0305638518184","4.7622279215915","Bang Nam Phueng, Samut Prakan Province, Thailand","20220422052905","2022-04-22 05:29:05","APJ Waterway April 2022","usa_SAP","0","","2018322","50848"
"SAP","Rubber Fragments","RUBBER","Rubber fragments","Rubber","7","","13.665586670619","100.57278782044","6.0305638518184","4.7639763411073","Bang Nam Phueng, Samut Prakan Province, Thailand","20220422052900","2022-04-22 05:29:00","APJ Waterway April 2022","usa_SAP","0","","2018321","50848"
"SAP","Metal Cups / Plates / Utensils","METAL","Eating utensils (fork, knives, spoon)","Metal","2","","13.665586670619","100.57278782044","6.0305638518184","4.7801323186301","Bang Nam Phueng, Samut Prakan Province, Thailand","20220422052928","2022-04-22 05:29:28","APJ Waterway April 2022","usa_SAP","0","","2018324","50848"
