list_name,master_item_name,master_material,itemname,material,quantity,description,latitude,longitude,altitude,radius,location,timestamp,dt,project_name,username,manual_upload,event_name,id,log_index
"Site Assessment","Toothbrushes, toothpaste, & floss","PLASTIC","Toothbrushes","PERSONAL CARE","1","","10.0553787","105.7791644","-2.3000001907349","3.6789999008179","Can Tho City, Vietnam","20201109030642","2020-11-09 03:06:42","","minhthuanb1703023","0","","833124","24465"
"Site Assessment","Toothbrushes, toothpaste, & floss","PLASTIC","Toothbrushes","PERSONAL CARE","1","","10.0643726","105.7453499","-1.4999998807907","4.2649998664856","Can Tho City, Vietnam","20201112025628","2020-11-12 02:56:28","","duyenduong","0","","837311","24570"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","10.0297883","105.7873933","0.60000002384186","3.9000000953674","Can Tho City, Vietnam","20201017103936","2020-10-17 10:39:36","","duyenduong","0","","814437","23943"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","10.0297582","105.7874116","0.60000002384186","3.9000000953674","Can Tho City, Vietnam","20201017103950","2020-10-17 10:39:50","","duyenduong","0","","814438","23943"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","10.0308653","105.7879081","-3.4051208496094","5.3600001335144","Can Tho City, Vietnam","20201017080524","2020-10-17 08:05:24","","Tran1098","0","","814460","23944"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","3","","10.0308104","105.7878108","7.7268676757812","5.1810002326965","Can Tho City, Vietnam","20201017080623","2020-10-17 08:06:23","","Tran1098","0","","814461","23944"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","10.0308653","105.7879081","-3.4051208496094","5.3600001335144","Can Tho City, Vietnam","20201017080524","2020-10-17 08:05:24","","Tran1098","0","","814539","23945"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","3","","10.0308104","105.7878108","7.7268676757812","5.1810002326965","Can Tho City, Vietnam","20201017080623","2020-10-17 08:06:23","","Tran1098","0","","814540","23945"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","10.0562245","105.778305","-1.8999999761581","3.9000000953674","Can Tho City, Vietnam","20201109015554","2020-11-09 01:55:54","","minhthuanb1703023","0","","833013","24464"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","10.0562611","105.7785823","-1.8999999761581","6.936999797821","Can Tho City, Vietnam","20201109032230","2020-11-09 03:22:30","","minhthuanb1703023","0","","833179","24465"
