list_name,master_item_name,master_material,itemname,material,quantity,description,latitude,longitude,altitude,radius,location,timestamp,dt,project_name,username,manual_upload,event_name,id,log_index
"Primary List","Test Item","NON-LITTER ITEM","Test Item","OTHER ITEMS","1","","-33.432076325105","-70.634569325047","582.11890983582","65","Providencia, Santiago Metropolitan Region, Chile","20220330105835","2022-03-30 10:58:35","WhitePoint Beach","Test1234","0","","1990177","50250"
"Primary List","Test Item","NON-LITTER ITEM","Test Item","OTHER ITEMS","1","","-33.432076325105","-70.634569325047","582.11890983582","65","Providencia, Santiago Metropolitan Region, Chile","20220330105835","2022-03-30 10:58:35","WhitePoint Beach","Test1234","0","","1990178","50251"
"Primary List","Test Item","NON-LITTER ITEM","Test Item","OTHER ITEMS","1","","-33.432052705","-70.634602668212","582.37245178223","65","Providencia, Santiago Metropolitan Region, Chile","20220426104759","2022-04-26 10:47:59","WhitePoint Beach","Test1234","0","","2029188","51024"
"Corpus Christi Storm Water Runoff","Aluminum or Tin Cans","METAL","Aluminum or tin cans","METAL","1","","-33.5104748","-70.6553766","573.79998779297","16.319000244141","San Miguel, Santiago Metropolitan Region, Chile","20201023013226","2020-10-23 01:32:26","","yunnn","0","","818324","24048"
"Corpus Christi Storm Water Runoff","Aluminum or Tin Cans","METAL","Aluminum or tin cans","METAL","1","","-33.5104736","-70.655373","573.79998779297","16.013999938965","San Miguel, Santiago Metropolitan Region, Chile","20201023013226","2020-10-23 01:32:26","","yunnn","0","","818325","24048"
"Site Assessment","Wipes","PLASTIC","Disinfectant Wipes","PPE","1","","-33.45897136322","-70.632596478183","556.64364588447","4.9122988705408","Santiago, Santiago Metropolitan Region, Chile","20220328152952","2022-03-28 15:29:52","Default","Test1234","0","","1982607","50161"
"Site Assessment","Wipes","PLASTIC","Disinfectant Wipes","PPE","1","","-33.459071701449","-70.632552421662","556.95002674311","4.8049585580029","Santiago, Santiago Metropolitan Region, Chile","20220328153236","2022-03-28 15:32:36","Default","Test1234","0","","1982640","50161"
"Site Assessment","Wipes","PLASTIC","Disinfectant Wipes","PPE","1","","-33.45940788925","-70.62871511275","558.5005718004","5.0035002753467","Ñuñoa, Santiago Metropolitan Region, Chile","20220328164434","2022-03-28 16:44:34","Default","Test1234","0","","1983181","50168"
"Site Assessment","Wipes","PLASTIC","Disinfectant Wipes","PPE","1","","-33.411489985336","-70.661391354844","535.86739744246","14.253373122833","Independencia, Santiago Metropolitan Region, Chile","20220329132438","2022-03-29 13:24:38","Default","Test1234","0","","1986445","50211"
"Site Assessment","Wipes","PLASTIC","Disinfectant Wipes","PPE","1","","-33.41564131821","-70.65984179294","541.65843027737","14.244181060581","Independencia, Santiago Metropolitan Region, Chile","20220329141226","2022-03-29 14:12:26","Default","Test1234","0","","1986760","50216"
"Site Assessment","Wipes","PLASTIC","Disinfectant Wipes","PPE","1","","-33.428491425412","-70.671110314402","538.68907083105","14.270888134964","Santiago, Santiago Metropolitan Region, Chile","20220329155726","2022-03-29 15:57:26","Default","Test1234","0","","1987187","50219"
