list_name,master_item_name,master_material,itemname,material,quantity,description,latitude,longitude,altitude,radius,location,timestamp,dt,project_name,username,manual_upload,event_name,id,log_index
"Site Assessment","Toothbrushes, toothpaste, & floss","PLASTIC","Toothpaste or Other Product Tube","PERSONAL CARE","1","","-6.9831101","110.4759256","42","5.8330001831055","Bangetayu Wetan, Central Java, Indonesia","20201006034858","2020-10-06 03:48:58","","yuliana ","0","","798669","23681"
"Site Assessment","Toothbrushes, toothpaste, & floss","PLASTIC","Toothpaste or Other Product Tube","PERSONAL CARE","1","","-7.0013213","110.4031127","47.399997711182","8.0389995574951","Petompon, Central Java, Indonesia","20201011070640","2020-10-11 07:06:40","","Rizal Hidayat","0","","807031","23827"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","-6.9826504","110.4770854","35.399997711182","7","Bangetayu Wetan, Central Java, Indonesia","20201006043646","2020-10-06 04:36:46","","yuliana ","0","","798723","23681"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","-6.9644529","110.3959659","32.200000762939","5.6209998130798","Tawangmas, Central Java, Indonesia","20201010062633","2020-10-10 06:26:33","","Rizal Hidayat","0","","804049","23778"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","-6.9644529","110.395965","32.700000762939","8.83899974823","Tawangmas, Central Java, Indonesia","20201010062636","2020-10-10 06:26:36","","Rizal Hidayat","0","","804050","23778"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","-6.9644529","110.395965","32.700000762939","8.83899974823","Tawangmas, Central Java, Indonesia","20201010062637","2020-10-10 06:26:37","","Rizal Hidayat","0","","804051","23778"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","-6.9644529","110.3959649","32.700000762939","8.289999961853","Tawangmas, Central Java, Indonesia","20201010062638","2020-10-10 06:26:38","","Rizal Hidayat","0","","804052","23778"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","-6.964623","110.396038","32.5","8.5930004119873","Tawangmas, Central Java, Indonesia","20201010063040","2020-10-10 06:30:40","","Rizal Hidayat","0","","804072","23778"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","-7.0069641","110.4024213","53.399997711182","3.944000005722","Bendan Ngisor, Central Java, Indonesia","20201011092024","2020-10-11 09:20:24","","Rizal Hidayat","0","","807366","23831"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","-7.0239828","110.4255293","142.40000915527","4.9109997749329","Central Java, Indonesia","20201011101126","2020-10-11 10:11:26","","Rizal Hidayat","0","","807556","23833"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","-7.02399","110.4255453","141.70001220703","3.9049999713898","Central Java, Indonesia","20201011101331","2020-10-11 10:13:31","","Rizal Hidayat","0","","807560","23833"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","-7.0236098","110.4256331","139.90000915527","3.9000000953674","Central Java, Indonesia","20201011101829","2020-10-11 10:18:29","","Rizal Hidayat","0","","807578","23833"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","-7.0239628","110.4284624","152","7.183000087738","Karanganyar Gunung, Central Java, Indonesia","20201012023620","2020-10-12 02:36:20","","Rizal Hidayat","0","","809886","23855"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","-7.0240631","110.4288404","149.70001220703","9.2829999923706","Karanganyar Gunung, Central Java, Indonesia","20201012024014","2020-10-12 02:40:14","","Rizal Hidayat","0","","809918","23855"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","-6.996114","110.425941","37","7.5689997673035","Pleburan, Central Java, Indonesia","20201012041243","2020-10-12 04:12:43","","Rizal Hidayat","0","","810092","23857"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","-6.9959319","110.4257348","37","8.8660001754761","Pleburan, Central Java, Indonesia","20201012052154","2020-10-12 05:21:54","","Rizal Hidayat","0","","810163","23857"
"Site Assessment","Wipes","PLASTIC","Disinfectant Wipes","PPE","1","","-7.0453599","110.4213308","273","7.8920001983643","Sumurboto, Central Java, Indonesia","20201003092945","2020-10-03 09:29:45","","Rizal Hidayat","0","","798402","23669"
"Site Assessment","Wipes","PLASTIC","Disinfectant Wipes","PPE","1","","-7.0453599","110.4213308","273","7.8920001983643","Sumurboto, Central Java, Indonesia","20201003092945","2020-10-03 09:29:45","","Rizal Hidayat","0","","798423","23670"
"Site Assessment","Wipes","PLASTIC","Disinfectant Wipes","PPE","1","","-6.9629255","110.3990711","32.200000762939","4.4019999504089","Tawangmas, Central Java, Indonesia","20201010030022","2020-10-10 03:00:22","","Rizal Hidayat","0","","803518","23771"
"Site Assessment","Wipes","PLASTIC","Disinfectant Wipes","PPE","1","","-6.964026","110.3959026","30.60000038147","7.9029998779297","Tawangmas, Central Java, Indonesia","20201010060931","2020-10-10 06:09:31","","Rizal Hidayat","0","","803985","23778"
"Site Assessment","Wipes","PLASTIC","Disinfectant Wipes","PPE","1","","-6.9643732","110.3960411","32.299999237061","7.8909997940063","Tawangmas, Central Java, Indonesia","20201010062123","2020-10-10 06:21:23","","Rizal Hidayat","0","","804019","23778"
"Site Assessment","Wipes","PLASTIC","Disinfectant Wipes","PPE","1","","-6.9772119","110.395722","32.399997711182","7.7379999160767","Krobokan, Central Java, Indonesia","20201010075018","2020-10-10 07:50:18","","Rizal Hidayat","0","","804130","23779"
"Site Assessment","Wipes","PLASTIC","Disinfectant Wipes","PPE","1","","-6.9772662","110.3952303","32.299999237061","8.1140003204346","Krobokan, Central Java, Indonesia","20201010075712","2020-10-10 07:57:12","","Rizal Hidayat","0","","804160","23779"
"Site Assessment","Wipes","PLASTIC","Disinfectant Wipes","PPE","1","","-6.9825754","110.3948486","35","4.1999998092651","Salaman Mloyo, Central Java, Indonesia","20201011025750","2020-10-11 02:57:50","","Rizal Hidayat","0","","806673","23822"
